"UNICODE","FECHA","INSP_COMPLETA"
"29.29.104.670","4/20/16",1
"29.29.104.678","4/20/16",1
"29.29.104.682","4/20/16",1
"29.29.104.683","4/20/16",NA
"29.29.104.685","4/20/16",1
"29.29.104.693","4/20/16",1
"29.29.104.694","4/20/16",1
"29.29.104.725","5/21/16",1
"29.29.104.726","5/21/16",1
"29.29.104.727","5/21/16",1
"29.29.104.728","5/21/16",1
"29.29.104.730","5/21/16",1
"29.29.104.732","5/21/16",1
"29.29.104.733","5/21/16",1
"29.29.104.739","5/21/16",1
"29.29.104.740","5/21/16",1
"29.29.104.741","5/21/16",1
"29.29.104.34","6/2/16",1
"29.29.104.35","6/2/16",1
"29.29.104.36","6/2/16",1
"29.29.104.37","6/2/16",1
"29.29.104.39","6/2/16",1
"29.29.104.42","6/2/16",1
"29.29.104.43","6/2/16",1
"29.29.104.44","6/2/16",1
"29.29.104.45","6/2/16",1
"29.29.104.46","6/2/16",1
"29.29.104.47","6/2/16",1
"29.29.104.2","7/10/12",1
"29.29.104.4","7/10/12",1
"29.29.104.6","7/10/12",1
"29.29.104.7","7/10/12",1
"29.29.104.8","7/10/12",1
"29.29.104.9","7/10/12",1
"29.29.104.11","7/10/12",1
"29.29.104.14","7/10/12",1
"29.29.104.15","6/23/11",NA
"29.29.104.16","7/10/12",1
"29.29.104.17","7/12/12",1
"29.29.104.18","7/12/12",1
"29.29.104.19","7/12/12",1
"29.29.104.20","7/23/12",1
"29.29.104.22","6/20/11",1
"29.29.104.22","7/12/12",1
"29.29.104.23","6/24/11",1
"29.29.104.23","7/12/12",1
"29.29.104.24","6/20/11",1
"29.29.104.24","7/12/12",1
"29.29.104.25","7/12/12",1
"29.29.104.26","7/12/12",1
"29.29.104.27","7/12/12",1
"29.29.104.30","6/23/11",NA
"29.29.104.30","7/14/12",1
